frame,time_s,status,wrist_x,wrist_y,wrist_z,shoulder_vis,elbow_vis,wrist_vis,shoulder_yaw,shoulder_pitch,elbow_flex,torso_yaw,torso_ok,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6
150,1768672037.595171,Pose: holding,0.015388919971883297,1.591759443283081,-0.524535596370697,0.9992344975471497,0.4581757187843323,0.08745089918375015,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0059515633031508655,0.30530115646694855,-1.1626449593417245,-0.00037488004092207347,-0.008074011765949378,-0.0006187826542963875
155,1768672037.775018,Pose: holding,0.05490567162632942,0.5661829710006714,-0.7289310097694397,0.997015118598938,0.464092493057251,0.21444033086299896,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.006286329549779637,0.30531170854248585,-1.1564580100642659,-0.0002946327354917224,-0.006754504112536854,-0.0004823343212934361
160,1768672037.949016,Pose: tracking,0.13629478216171265,0.27730050683021545,-1.1220970153808594,0.9966751933097839,0.657243549823761,0.47664687037467957,-0.25290688630848684,0.19723254366186546,0.9457883827153313,0.004378007522434224,0,-0.0774929958631635,1.5372736281660297,-1.1405175521940025,0.0,0.0,0.0,-0.007799216322599069,0.26001090717498904,-1.1889762340800725,-0.0002267391139617671,-0.0053108614799601515,-0.0003726509015923703
165,1768672038.125867,Pose: tracking,-0.050273310393095016,1.332825779914856,-1.1034716367721558,0.9965686798095703,0.5181781053543091,0.40445250272750854,0.04703486012832935,-0.6589895452813107,0.565642789689504,-0.3558361321466459,0,-0.5689592825698135,2.3015702062167835,-0.6427128402878817,0.0,0.0,0.0,-0.010088381721688423,0.25548044224864386,-1.0830309086544174,-0.00019966911493069149,-0.005651406141938261,-0.00030196443551852413
170,1768672038.3037288,Pose: tracking,-0.09507527947425842,1.3862276077270508,-1.4869970083236694,0.9974519610404968,0.5636271238327026,0.398250013589859,-0.6655908056703367,-1.234317971696883,0.43572155576555804,0.30249642793924614,0,0.42372278239794875,2.7181742402369227,-0.46283853329306024,0.0,0.0,0.0,-0.010316786762038361,0.26454737165922504,-0.9531152066451191,-0.00016517324012620794,-0.00517452532777392,-0.00023936167279595973
175,1768672038.4806678,Pose: tracking,-0.08607900887727737,1.4358880519866943,-1.4802979230880737,0.9979876279830933,0.5865631103515625,0.35097959637641907,-0.7523274854881211,-1.432991778571373,0.2664826024706808,0.5336257693217168,0,0.7902784126164368,3.016057180443964,-0.32371855515253284,0.0,0.0,0.0,-0.008567444173520093,0.29328299935503604,-0.8519763519879385,-0.00013983261726588714,-0.004802443559469506,-0.00019063930387572516
180,1768672038.658448,Pose: tracking,0.09083976596593857,0.7358054518699646,-1.558298945426941,0.9966112971305847,0.7060403823852539,0.5931177735328674,-0.4286401300864248,-0.20097706803533866,0.4319304533067543,0.2979200237147668,0,0.5085493348571966,1.8391521332444605,-0.4838278657695374,0.0,0.0,0.0,-0.006184607031862669,0.26015570148248823,-0.7644600306117171,-0.00011498934923403777,-0.004144121403403186,-0.00014973792371845252
185,1768672038.8341398,Pose: tracking,-0.04165652021765709,1.0039867162704468,-1.4757726192474365,0.9955360889434814,0.7586944103240967,0.737355649471283,-0.5775197875379205,-0.5127158864414681,0.2835419720446053,0.4122871870806568,0,0.6076334028155568,2.0595137733725126,-0.3256442213531022,0.0,0.0,0.0,-0.00427418217550381,0.23800334861369624,-0.6932499827531817,-0.00011019274334001761,-0.004497706157808614,-0.00012585685363777227
190,1768672039.010536,Pose: tracking,0.07019636034965515,0.8277603983879089,-1.6557459831237793,0.9934426546096802,0.7824536561965942,0.8021286725997925,-0.5054539086618438,-0.2964061440720291,0.4498715183011748,0.33984106538084413,0,0.5181784170077834,1.8924317416533356,-0.4744117453845136,0.0,0.0,0.0,-0.0022436719474986473,0.240842133219175,-0.6306519339481216,-9.780071122088017e-05,-0.004230684057090775,-0.00010267674062847147
195,1768672039.187092,Pose: tracking,-0.03707321360707283,1.0816962718963623,-1.8701212406158447,0.9948833584785461,0.7444707155227661,0.796911895275116,-0.5146527540694232,-0.43365224367599775,0.30618263629638287,0.35052314412045904,0,0.4964011014063512,2.0060259716216624,-0.3534501386054016,0.0,0.0,0.0,-0.0006741848740998344,0.23816403430694963,-0.5789629642451758,-9.552158080923768e-05,-0.004454033171539823,-8.82537278888255e-05
200,1768672039.363533,Pose: tracking,-0.08888658881187439,1.1712416410446167,-1.594655990600586,0.9963839054107666,0.767206609249115,0.7762048244476318,-0.49259528166950767,-0.5152548884928914,0.3571211236564622,0.2115456261160229,0,0.3234887882220054,2.1021558513788237,-0.39447223660070085,0.0,0.0,0.0,0.0011566197618765727,0.2449585771183699,-0.5298057074370116,-9.12501907331125e-05,-0.0044653381237806135,-7.582635815850518e-05
205,1768672039.543911,Pose: tracking,-0.009397109039127827,1.0358271598815918,-2.026723861694336,0.9971308708190918,0.7867344617843628,0.7654351592063904,-0.30968074748133406,-0.193013174933841,0.3024671478694301,0.1714686215318979,0,0.358457469473344,1.838805654907305,-0.3149260993762243,0.0,0.0,0.0,0.0027172188228901007,0.23870877206547705,-0.4881279374990303,-9.075896830071508e-05,-0.004647228945781402,-6.749825309124987e-05
210,1768672039.714467,Pose: tracking,-0.04966987296938896,1.0705746412277222,-2.173092842102051,0.9974820017814636,0.786837637424469,0.752007246017456,-0.5228400404944122,-0.49918880329727794,0.3459082568557257,0.35386604091957397,0,0.5747935859355704,2.12822043507495,-0.36828924140586516,0.0,0.0,0.0,0.00382756267141487,0.2404332899779226,-0.46855823980745964,-8.985141974503604e-05,-0.004758229678717044,-6.09548215823321e-05
215,1768672039.9004369,Pose: tracking,-0.05513311177492142,0.8779633641242981,-1.2713582515716553,0.997061014175415,0.7796460390090942,0.7616865634918213,-0.008407075654687002,-0.30723744782940726,0.49994088721780283,-0.23106045110007956,0,-0.13864732933323215,1.8715908844503164,-0.5229255196231493,0.0,0.0,0.0,0.005050726764953222,0.23515660010873451,-0.45287155265879997,-8.547136725259618e-05,-0.00458793820094098,-5.364624148333018e-05
